Artículo,,,Nombre artículo,Serie,Documento,Fecha,Agrup.,Nº agrup.,Uni.agr.,,Unid.,Precio,Dto1,,Importe,,,,,Factura
,,,00011 - CONTADO ZOCODOVER,,,,,,,,,,,,,,,,,
MCG006,,,UD. SOMBRILLA DE CHOCOLATE 35 GMS.,11,   908178T,01/12/2025,,,,,2,"2,2",,,"4,4",,,,,T251201
,,,Total albarán 11908178T,,,,,,,,2,,,,"4,4",,,,,
MVH008,,,"UD. AGUA MINERAL DE 1, 5 L. AQUABONA",11,   908184T,01/12/2025,,,,,1,"1,75",,,"1,75",,,,,T251201
,,,Total albarán 11908184T,,,,,,,,1,,,,"1,75",,,,,
MCK048,,,UD. MEGA-ROULETE,11,   908186T,01/12/2025,,,,,1,"0,7",,,"0,7",,,,,T251201
,,,Total albarán 11908186T,,,,,,,,1,,,,"0,7",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908192T,01/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251201
,,,Total albarán 11908192T,,,,,,,,1,,,,"1,1",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908202T,01/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251201
,,,Total albarán 11908202T,,,,,,,,1,,,,"1,1",,,,,
MCJ003F,,,UD. BOLSA CARAMELO MIEL - EUCALIPTO 175 GR.,11,   908209T,01/12/2025,,,,,1,"3,3",,,"3,3",,,,,T251201
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908209T,01/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251201
,,,Total albarán 11908209T,,,,,,,,2,,,,"4,4",,,,,
MCN001,,,UD. CHUPA CHUPS,11,   908215T,01/12/2025,,,,,1,"0,3",,,"0,3",,,,,T251201
,,,Total albarán 11908215T,,,,,,,,1,,,,"0,3",,,,,
MCG001F,,,UD. HUEVO PATRULLA CANINA,11,   908221T,01/12/2025,,,,,2,"1,5",,,3,,,,,T251201
,,,Total albarán 11908221T,,,,,,,,2,,,,3,,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908232T,01/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251201
,,,Total albarán 11908232T,,,,,,,,1,,,,"1,1",,,,,
,04/03/2026 20:10:36,,,,,,,,,,,,,,,,,Página: 1,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908238T,01/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251201
,,,Total albarán 11908238T,,,,,,,,1,,,,"1,1",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   908257T,01/12/2025,,,,,"1,36","19,8",,,"26,93",,,,,T251201
,,,Total albarán 11908257T,,,,,,,,"1,36",,,,"26,93",,,,,
MTU002,,,UD. TURRON JIJONA 300 GR.,11,   908268T,01/12/2025,,,,,1,"12,1",,,"12,1",,,,,T251201
,,,Total albarán 11908268T,,,,,,,,1,,,,"12,1",,,,,
MBB003,,,KG. LENGUAS DE GATO,11,   908274T,01/12/2025,,,,,"0,26","34,1",,,"8,87",,,,,T251201
,,,Total albarán 11908274T,,,,,,,,"0,26",,,,"8,87",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908275T,01/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251201
,,,Total albarán 11908275T,,,,,,,,1,,,,"1,1",,,,,
MVA001,,,UD. VELA NUMERO,11,   908290T,01/12/2025,,,,,2,"0,99",,,"1,98",,,,,T251201
,,,Total albarán 11908290T,,,,,,,,2,,,,"1,98",,,,,
MCF018J,,,UD. CHOC. TORRAS SEA SALT ORGANIC,11,   908296T,01/12/2025,,,,,1,"3,85",,,"3,85",,,,,T251201
,,,Total albarán 11908296T,,,,,,,,1,,,,"3,85",,,,,
MCK005,,,UD. TUBO LACASITOS 20 GMS.,11,   908306T,01/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251201
,,,Total albarán 11908306T,,,,,,,,1,,,,"1,1",,,,,
MTU002,,,UD. TURRON JIJONA 300 GR.,11,   908311T,01/12/2025,,,,,1,"12,1",,,"12,1",,,,,T251201
,,,Total albarán 11908311T,,,,,,,,1,,,,"12,1",,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   908313T,01/12/2025,,,,,"0,05","41,8",,,"2,09",,,,,T251201
,,,Total albarán 11908313T,,,,,,,,"0,05",,,,"2,09",,,,,
MCG001F,,,UD. HUEVO PATRULLA CANINA,11,   908323T,01/12/2025,,,,,1,"1,5",,,"1,5",,,,,T251201
,,,Total albarán 11908323T,,,,,,,,1,,,,"1,5",,,,,
MVH008,,,"UD. AGUA MINERAL DE 1, 5 L. AQUABONA",11,   908344T,01/12/2025,,,,,1,"1,75",,,"1,75",,,,,T251201
,,,Total albarán 11908344T,,,,,,,,1,,,,"1,75",,,,,
MTU002,,,UD. TURRON JIJONA 300 GR.,11,   908349T,01/12/2025,,,,,1,"12,1",,,"12,1",,,,,T251201
,,,Total albarán 11908349T,,,,,,,,1,,,,"12,1",,,,,
MCN001,,,UD. CHUPA CHUPS,11,   908350T,01/12/2025,,,,,2,"0,3",,,"0,6",,,,,T251201
,,,Total albarán 11908350T,,,,,,,,2,,,,"0,6",,,,,
MVH012A,,,UD. BOTELLA COCA COLA ZERO,11,   908355T,01/12/2025,,,,,1,2,,,2,,,,,T251201
,,,Total albarán 11908355T,,,,,,,,1,,,,2,,,,,
,04/03/2026 20:10:36,,,,,,,,,,,,,,,,,Página: 2,,
MCG006,,,UD. SOMBRILLA DE CHOCOLATE 35 GMS.,11,   908356T,01/12/2025,,,,,1,"2,2",,,"2,2",,,,,T251201
,,,Total albarán 11908356T,,,,,,,,1,,,,"2,2",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908358T,01/12/2025,,,,,2,"1,1",,,"2,2",,,,,T251201
,,,Total albarán 11908358T,,,,,,,,2,,,,"2,2",,,,,
MFA001,,,KG. FRUTA ESCARCHADA,11,   908372T,01/12/2025,,,,,"0,745","29,7",,,"22,13",,,,,T251201
,,,Total albarán 11908372T,,,,,,,,"0,745",,,,"22,13",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908385T,01/12/2025,,,,,3,"1,1",,,"3,3",,,,,T251201
,,,Total albarán 11908385T,,,,,,,,3,,,,"3,3",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908392T,01/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251201
,,,Total albarán 11908392T,,,,,,,,1,,,,"1,1",,,,,
MFA002,,,KG. FRUTAS DE ARAGON,11,   908395T,01/12/2025,,,,,"0,25",33,,,"8,25",,,,,T251201
,,,Total albarán 11908395T,,,,,,,,"0,25",,,,"8,25",,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   908423T,01/12/2025,,,,,"0,01","41,8",,,"0,42",,,,,T251201
,,,Total albarán 11908423T,,,,,,,,"0,01",,,,"0,42",,,,,
MBB003,,,KG. LENGUAS DE GATO,11,   908425T,01/12/2025,,,,,"0,08","34,1",,,"2,73",,,,,T251201
,,,Total albarán 11908425T,,,,,,,,"0,08",,,,"2,73",,,,,
MBB001,,,KG. BOMBONES SURTIDOS,11,   908428T,01/12/2025,,,,,"0,045","51,7",,,"2,33",,,,,T251201
,,,Total albarán 11908428T,,,,,,,,"0,045",,,,"2,33",,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   908435T,01/12/2025,,,,,"0,1","41,8",,,"4,18",,,,,T251201
,,,Total albarán 11908435T,,,,,,,,"0,1",,,,"4,18",,,,,
MCN051,,,UD. PIRULETA LIMON,11,   908438T,01/12/2025,,,,,1,"1,43",,,"1,43",,,,,T251201
,,,Total albarán 11908438T,,,,,,,,1,,,,"1,43",,,,,
MTU016A,,,KG. MANTECADOS FELIPE II,11,   908440T,01/12/2025,,,,,"0,5",55,,,"27,5",,,,,T251201
,,,Total albarán 11908440T,,,,,,,,"0,5",,,,"27,5",,,,,
MVH015,,,UD. BOTELLA AQUARIUS,11,   908457T,02/12/2025,,,,,1,2,,,2,,,,,T251202
,,,Total albarán 11908457T,,,,,,,,1,,,,2,,,,,
MCK015A,,,UD. TUBO MENTOS FRUTAS 38 GR.,11,   908469T,02/12/2025,,,,,2,"1,1",,,"2,2",,,,,T251202
,,,Total albarán 11908469T,,,,,,,,2,,,,"2,2",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908473T,02/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251202
,,,Total albarán 11908473T,,,,,,,,1,,,,"1,1",,,,,
,04/03/2026 20:10:36,,,,,,,,,,,,,,,,,Página: 3,,
MVH008,,,"UD. AGUA MINERAL DE 1, 5 L. AQUABONA",11,   908474T,02/12/2025,,,,,1,"1,75",,,"1,75",,,,,T251202
,,,Total albarán 11908474T,,,,,,,,1,,,,"1,75",,,,,
MCO004O,,,UD. TRIDENT MENTA SIN AZUCAR,11,   908492T,02/12/2025,,,,,1,"1,65",,,"1,65",,,,,T251202
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908492T,02/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251202
,,,Total albarán 11908492T,,,,,,,,2,,,,"2,75",,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   908496T,02/12/2025,,,,,"0,265","41,8",,,"11,08",,,,,T251202
,,,Total albarán 11908496T,,,,,,,,"0,265",,,,"11,08",,,,,
MCK024C,,,UD. EST. HALLS ORIGINAL,11,   908508T,02/12/2025,,,,,1,"1,4",,,"1,4",,,,,T251202
,,,Total albarán 11908508T,,,,,,,,1,,,,"1,4",,,,,
MFA001,,,KG. FRUTA ESCARCHADA,11,   908528T,02/12/2025,,,,,"0,5","29,7",,,"14,85",,,,,T251202
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   908528T,02/12/2025,,,,,"0,5","19,8",,,"9,9",,,,,T251202
,,,Total albarán 11908528T,,,,,,,,1,,,,"24,75",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   908530T,02/12/2025,,,,,"0,5","19,8",,,"9,9",,,,,T251202
MFA001,,,KG. FRUTA ESCARCHADA,11,   908530T,02/12/2025,,,,,"0,5","29,7",,,"14,85",,,,,T251202
,,,Total albarán 11908530T,,,,,,,,1,,,,"24,75",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   908531T,02/12/2025,,,,,"1,25","19,8",,,"24,75",,,,,T251202
,,,Total albarán 11908531T,,,,,,,,"1,25",,,,"24,75",,,,,
MBB001,,,KG. BOMBONES SURTIDOS,11,   908536T,02/12/2025,,,,,"0,33","51,7",,,"17,06",,,,,T251202
,,,Total albarán 11908536T,,,,,,,,"0,33",,,,"17,06",,,,,
MTU016A,,,KG. MANTECADOS FELIPE II,11,   908543T,02/12/2025,,,,,"0,315",55,,,"17,33",,,,,T251202
,,,Total albarán 11908543T,,,,,,,,"0,315",,,,"17,33",,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   908565T,02/12/2025,,,,,"0,07","41,8",,,"2,93",,,,,T251202
,,,Total albarán 11908565T,,,,,,,,"0,07",,,,"2,93",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908572T,02/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251202
,,,Total albarán 11908572T,,,,,,,,1,,,,"1,1",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908578T,02/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251202
,,,Total albarán 11908578T,,,,,,,,1,,,,"1,1",,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   908585T,02/12/2025,,,,,"0,06","41,8",,,"2,51",,,,,T251202
,,,Total albarán 11908585T,,,,,,,,"0,06",,,,"2,51",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   908604T,02/12/2025,,,,,"0,58","19,8",,,"11,48",,,,,T251202
,04/03/2026 20:10:36,,,,,,,,,,,,,,,,,Página: 4,,
,,,Total albarán 11908604T,,,,,,,,"0,58",,,,"11,48",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   908606T,02/12/2025,,,,,"0,28","19,8",,,"5,54",,,,,T251202
,,,Total albarán 11908606T,,,,,,,,"0,28",,,,"5,54",,,,,
MTU016A,,,KG. MANTECADOS FELIPE II,11,   908613T,02/12/2025,,,,,"0,08",55,,,"4,4",,,,,T251202
,,,Total albarán 11908613T,,,,,,,,"0,08",,,,"4,4",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908618T,02/12/2025,,,,,2,"1,1",,,"2,2",,,,,T251202
,,,Total albarán 11908618T,,,,,,,,2,,,,"2,2",,,,,
MCJ003D,,,UD. BOLSA CARAMELO NARANJA 175 GR.,11,   908619T,02/12/2025,,,,,1,"3,3",,,"3,3",,,,,T251202
,,,Total albarán 11908619T,,,,,,,,1,,,,"3,3",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908624T,02/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251202
,,,Total albarán 11908624T,,,,,,,,1,,,,"1,1",,,,,
MTU016A,,,KG. MANTECADOS FELIPE II,11,   908644T,02/12/2025,,,,,"0,035",55,,,"1,93",,,,,T251202
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   908644T,02/12/2025,,,,,"0,04","19,8",,,"0,79",,,,,T251202
,,,Total albarán 11908644T,,,,,,,,"0,075",,,,"2,72",,,,,
MCK008R,,,UD. SMINT BUBLLE FRESH,11,   908663T,02/12/2025,,,,,1,"2,2",,,"2,2",,,,,T251202
,,,Total albarán 11908663T,,,,,,,,1,,,,"2,2",,,,,
MCN034E,,,UD. PIRULETA CORAZON,11,   908678T,02/12/2025,,,,,1,"1,43",,,"1,43",,,,,T251202
,,,Total albarán 11908678T,,,,,,,,1,,,,"1,43",,,,,
MCK048,,,UD. MEGA-ROULETE,11,   908679T,02/12/2025,,,,,1,"0,7",,,"0,7",,,,,T251202
,,,Total albarán 11908679T,,,,,,,,1,,,,"0,7",,,,,
MBB001,,,KG. BOMBONES SURTIDOS,11,   908685T,02/12/2025,,,,,"0,08","51,7",,,"4,14",,,,,T251202
MBB003,,,KG. LENGUAS DE GATO,11,   908685T,02/12/2025,,,,,"0,31","34,1",,,"10,57",,,,,T251202
,,,Total albarán 11908685T,,,,,,,,"0,39",,,,"14,71",,,,,
MCN001,,,UD. CHUPA CHUPS,11,   908687T,02/12/2025,,,,,1,"0,3",,,"0,3",,,,,T251202
,,,Total albarán 11908687T,,,,,,,,1,,,,"0,3",,,,,
MVA001,,,UD. VELA NUMERO,11,   908688T,02/12/2025,,,,,2,"0,99",,,"1,98",,,,,T251202
,,,Total albarán 11908688T,,,,,,,,2,,,,"1,98",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908697T,03/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251203
,,,Total albarán 11908697T,,,,,,,,1,,,,"1,1",,,,,
MTU002,,,UD. TURRON JIJONA 300 GR.,11,   908701T,03/12/2025,,,,,1,"12,1",,,"12,1",,,,,T251203
,,,Total albarán 11908701T,,,,,,,,1,,,,"12,1",,,,,
,04/03/2026 20:10:36,,,,,,,,,,,,,,,,,Página: 5,,
MTU016A,,,KG. MANTECADOS FELIPE II,11,   908707T,03/12/2025,,,,,"0,085",55,,,"4,68",,,,,T251203
,,,Total albarán 11908707T,,,,,,,,"0,085",,,,"4,68",,,,,
MTU016A,,,KG. MANTECADOS FELIPE II,11,   908708T,03/12/2025,,,,,"0,08",55,,,"4,4",,,,,T251203
,,,Total albarán 11908708T,,,,,,,,"0,08",,,,"4,4",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908744T,03/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251203
,,,Total albarán 11908744T,,,,,,,,1,,,,"1,1",,,,,
MFA001,,,KG. FRUTA ESCARCHADA,11,   908745T,03/12/2025,,,,,"0,13","29,7",,,"3,86",,,,,T251203
,,,Total albarán 11908745T,,,,,,,,"0,13",,,,"3,86",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908749T,03/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251203
,,,Total albarán 11908749T,,,,,,,,1,,,,"1,1",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   908758T,03/12/2025,,,,,"0,35","19,8",,,"6,93",,,,,T251203
,,,Total albarán 11908758T,,,,,,,,"0,35",,,,"6,93",,,,,
MFA001,,,KG. FRUTA ESCARCHADA,11,   908764T,03/12/2025,,,,,"0,29","29,7",,,"8,61",,,,,T251203
MTU018,,,UD. BOLSA PELADILLA 150 GR.,11,   908764T,03/12/2025,,,,,1,"6,05",,,"6,05",,,,,T251203
,,,Total albarán 11908764T,,,,,,,,"1,29",,,,"14,66",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   908778T,03/12/2025,,,,,"0,27","19,8",,,"5,35",,,,,T251203
,,,Total albarán 11908778T,,,,,,,,"0,27",,,,"5,35",,,,,
MFA002,,,KG. FRUTAS DE ARAGON,11,   908791T,03/12/2025,,,,,1,33,,,33,,,,,T251203
,,,Total albarán 11908791T,,,,,,,,1,,,,33,,,,,
MTU002,,,UD. TURRON JIJONA 300 GR.,11,   908792T,03/12/2025,,,,,2,"12,1",,,"24,2",,,,,T251203
,,,Total albarán 11908792T,,,,,,,,2,,,,"24,2",,,,,
MTU016A,,,KG. MANTECADOS FELIPE II,11,   908814T,03/12/2025,,,,,"0,2",55,,,11,,,,,T251203
,,,Total albarán 11908814T,,,,,,,,"0,2",,,,11,,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908823T,03/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251203
,,,Total albarán 11908823T,,,,,,,,1,,,,"1,1",,,,,
MCK005,,,UD. TUBO LACASITOS 20 GMS.,11,   908827T,03/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251203
MCN001S,,,UD. CHUPA CHUPS GRANDE,11,   908827T,03/12/2025,,,,,2,1,,,2,,,,,T251203
MCG005,,,UD. SOMBRILLA DE CHOCOLATE 10 GMS.,11,   908827T,03/12/2025,,,,,1,"0,9",,,"0,9",,,,,T251203
,,,Total albarán 11908827T,,,,,,,,4,,,,4,,,,,
MTU011,,,KG. PASTELES YEMA,11,   908833T,03/12/2025,,,,,"0,07","38,5",,,"2,7",,,,,T251203
,04/03/2026 20:10:36,,,,,,,,,,,,,,,,,Página: 6,,
,,,Total albarán 11908833T,,,,,,,,"0,07",,,,"2,7",,,,,
MFA004,,,KG. MARRON GLACE,11,   908835T,03/12/2025,,,,,"0,25","61,6",,,"15,4",,,,,T251203
,,,Total albarán 11908835T,,,,,,,,"0,25",,,,"15,4",,,,,
MBB001,,,KG. BOMBONES SURTIDOS,11,   908836T,03/12/2025,,,,,"0,19","51,7",,,"9,82",,,,,T251203
,,,Total albarán 11908836T,,,,,,,,"0,19",,,,"9,82",,,,,
MBB001,,,KG. BOMBONES SURTIDOS,11,   908841T,03/12/2025,,,,,"0,03","51,7",,,"1,55",,,,,T251203
,,,Total albarán 11908841T,,,,,,,,"0,03",,,,"1,55",,,,,
MCG006A,,,UD. SOMBRILLA DE CHOCOLATE 15 GMS.,11,   908852T,03/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251203
,,,Total albarán 11908852T,,,,,,,,1,,,,"1,1",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   908860T,03/12/2025,,,,,"0,25","19,8",,,"4,95",,,,,T251203
,,,Total albarán 11908860T,,,,,,,,"0,25",,,,"4,95",,,,,
MCF016O,,,UD. CHOC. CREMA LECHE CACHET 100 GR.,11,   908864T,03/12/2025,,,,,2,"3,3",,,"6,6",,,,,T251203
,,,Total albarán 11908864T,,,,,,,,2,,,,"6,6",,,,,
MTU001,,,UD. TURRON ALICANTE 300 GR.,11,   908873T,03/12/2025,,,,,1,"12,1",,,"12,1",,,,,T251203
,,,Total albarán 11908873T,,,,,,,,1,,,,"12,1",,,,,
MTU032,,,UD. TURRON CHOCO-LECHE P. ALM. CARAMELIZADA,11,   908879T,03/12/2025,,,,,1,"9,9",,,"9,9",,,,,T251203
,,,Total albarán 11908879T,,,,,,,,1,,,,"9,9",,,,,
MCK048,,,UD. MEGA-ROULETE,11,   908885T,03/12/2025,,,,,1,"0,7",,,"0,7",,,,,T251203
MCN001,,,UD. CHUPA CHUPS,11,   908885T,03/12/2025,,,,,1,"0,33",,,"0,33",,,,,T251203
,,,Total albarán 11908885T,,,,,,,,2,,,,"1,03",,,,,
MCF016P,,,UD. CHOC. CREMA LECHE BELGA CACHET 100 GR.,11,   908890T,03/12/2025,,,,,1,"3,3",,,"3,3",,,,,T251203
,,,Total albarán 11908890T,,,,,,,,1,,,,"3,3",,,,,
MTU016A,,,KG. MANTECADOS FELIPE II,11,   908906T,03/12/2025,,,,,"0,04",55,,,"2,2",,,,,T251203
,,,Total albarán 11908906T,,,,,,,,"0,04",,,,"2,2",,,,,
MTU016A,,,KG. MANTECADOS FELIPE II,11,   908926T,03/12/2025,,,,,"0,12",55,,,"6,6",,,,,T251203
,,,Total albarán 11908926T,,,,,,,,"0,12",,,,"6,6",,,,,
MTU016A,,,KG. MANTECADOS FELIPE II,11,   908929T,03/12/2025,,,,,"0,16",55,,,"8,8",,,,,T251203
,,,Total albarán 11908929T,,,,,,,,"0,16",,,,"8,8",,,,,
MTU016A,,,KG. MANTECADOS FELIPE II,11,   908931T,03/12/2025,,,,,"0,3",55,,,"16,5",,,,,T251203
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   908931T,03/12/2025,,,,,"0,3","19,8",,,"5,94",,,,,T251203
,04/03/2026 20:10:36,,,,,,,,,,,,,,,,,Página: 7,,
,,,Total albarán 11908931T,,,,,,,,"0,6",,,,"22,44",,,,,
MVH015,,,UD. BOTELLA AQUARIUS,11,   908932T,03/12/2025,,,,,1,2,,,2,,,,,T251203
,,,Total albarán 11908932T,,,,,,,,1,,,,2,,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   908947T,03/12/2025,,,,,"0,25","41,8",,,"10,45",,,,,T251203
MTU019,,,UD. BOLSA PIÑONES 150 GR.,11,   908947T,03/12/2025,,,,,1,11,,,11,,,,,T251203
,,,Total albarán 11908947T,,,,,,,,"1,25",,,,"21,45",,,,,
MVH008,,,"UD. AGUA MINERAL DE 1, 5 L. AQUABONA",11,   908963T,03/12/2025,,,,,1,"1,75",,,"1,75",,,,,T251203
,,,Total albarán 11908963T,,,,,,,,1,,,,"1,75",,,,,
MBB001,,,KG. BOMBONES SURTIDOS,11,   908967T,03/12/2025,,,,,"0,23","51,7",,,"11,89",,,,,T251203
,,,Total albarán 11908967T,,,,,,,,"0,23",,,,"11,89",,,,,
MTU016A,,,KG. MANTECADOS FELIPE II,11,   908994T,03/12/2025,,,,,"0,125",55,,,"6,88",,,,,T251203
,,,Total albarán 11908994T,,,,,,,,"0,125",,,,"6,88",,,,,
MTU001,,,UD. TURRON ALICANTE 300 GR.,11,   908996T,03/12/2025,,,,,1,"12,1",,,"12,1",,,,,T251203
,,,Total albarán 11908996T,,,,,,,,1,,,,"12,1",,,,,
MCG007A,,,UD. BOLSA MONEDAS CHOCOLATE 50 gm.,11,   908997T,03/12/2025,,,,,1,"1,65",,,"1,65",,,,,T251203
,,,Total albarán 11908997T,,,,,,,,1,,,,"1,65",,,,,
MTU018,,,UD. BOLSA PELADILLA 150 GR.,11,   909008T,04/12/2025,,,,,1,"6,05",,,"6,05",,,,,T251204
,,,Total albarán 11909008T,,,,,,,,1,,,,"6,05",,,,,
MTU016A,,,KG. MANTECADOS FELIPE II,11,   909036T,04/12/2025,,,,,"0,23",55,,,"12,65",,,,,T251204
,,,Total albarán 11909036T,,,,,,,,"0,23",,,,"12,65",,,,,
MVH015,,,UD. BOTELLA AQUARIUS,11,   909049T,04/12/2025,,,,,1,2,,,2,,,,,T251204
,,,Total albarán 11909049T,,,,,,,,1,,,,2,,,,,
MCF018J,,,UD. CHOC. TORRAS SEA SALT ORGANIC,11,   909053T,04/12/2025,,,,,1,"3,85",,,"3,85",,,,,T251204
,,,Total albarán 11909053T,,,,,,,,1,,,,"3,85",,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   909062T,04/12/2025,,,,,"0,5","41,8",,,"20,9",,,,,T251204
,,,Total albarán 11909062T,,,,,,,,"0,5",,,,"20,9",,,,,
MTU002,,,UD. TURRON JIJONA 300 GR.,11,   909065T,04/12/2025,,,,,2,"12,1",,,"24,2",,,,,T251204
MTU001,,,UD. TURRON ALICANTE 300 GR.,11,   909065T,04/12/2025,,,,,2,"12,1",,,"24,2",,,,,T251204
,,,Total albarán 11909065T,,,,,,,,4,,,,"48,4",,,,,
MFA002,,,KG. FRUTAS DE ARAGON,11,   909067T,04/12/2025,,,,,1,33,,,33,,,,,T251204
,04/03/2026 20:10:36,,,,,,,,,,,,,,,,,Página: 8,,
,,,Total albarán 11909067T,,,,,,,,1,,,,33,,,,,
MTU001,,,UD. TURRON ALICANTE 300 GR.,11,   909071T,04/12/2025,,,,,1,"12,1",,,"12,1",,,,,T251204
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   909071T,04/12/2025,,,,,"0,5","19,8",,,"9,9",,,,,T251204
,,,Total albarán 11909071T,,,,,,,,"1,5",,,,22,,,,,
MTU018,,,UD. BOLSA PELADILLA 150 GR.,11,   909077T,04/12/2025,,,,,1,"6,05",,,"6,05",,,,,T251204
,,,Total albarán 11909077T,,,,,,,,1,,,,"6,05",,,,,
MBB003,,,KG. LENGUAS DE GATO,11,   909082T,04/12/2025,,,,,"0,25","34,1",,,"8,53",,,,,T251204
,,,Total albarán 11909082T,,,,,,,,"0,25",,,,"8,53",,,,,
MVH008,,,"UD. AGUA MINERAL DE 1, 5 L. AQUABONA",11,   909092T,04/12/2025,,,,,1,"1,75",,,"1,75",,,,,T251204
,,,Total albarán 11909092T,,,,,,,,1,,,,"1,75",,,,,
MCN001S,,,UD. CHUPA CHUPS GRANDE,11,   909096T,04/12/2025,,,,,1,1,,,1,,,,,T251204
,,,Total albarán 11909096T,,,,,,,,1,,,,1,,,,,
MFA001,,,KG. FRUTA ESCARCHADA,11,   909098T,04/12/2025,,,,,"0,35","29,7",,,"10,4",,,,,T251204
MBB003,,,KG. LENGUAS DE GATO,11,   909098T,04/12/2025,,,,,"0,22","34,1",,,"7,5",,,,,T251204
,,,Total albarán 11909098T,,,,,,,,"0,57",,,,"17,9",,,,,
MTU016A,,,KG. MANTECADOS FELIPE II,11,   909116T,04/12/2025,,,,,"0,31",55,,,"17,05",,,,,T251204
,,,Total albarán 11909116T,,,,,,,,"0,31",,,,"17,05",,,,,
MVH012,,,UD. BOTELLA COCA COLA,11,   909128T,04/12/2025,,,,,1,2,,,2,,,,,T251204
MVH012A,,,UD. BOTELLA COCA COLA ZERO,11,   909128T,04/12/2025,,,,,1,2,,,2,,,,,T251204
,,,Total albarán 11909128T,,,,,,,,2,,,,4,,,,,
MTU010,,,KG. ALMENDRAS RELLENAS,11,   909166T,04/12/2025,,,,,"0,21","41,8",,,"8,78",,,,,T251204
,,,Total albarán 11909166T,,,,,,,,"0,21",,,,"8,78",,,,,
MCN001,,,UD. CHUPA CHUPS,11,   909177T,04/12/2025,,,,,2,"0,33",,,"0,66",,,,,T251204
,,,Total albarán 11909177T,,,,,,,,2,,,,"0,66",,,,,
